lat,lng
22.3311165,114.226279
22.312205,114.226399
22.3165412,114.229636
22.315134,114.219628
22.3154739,114.220002
22.309093,114.23436
22.312205,114.226399
22.3244614,114.216302
22.3128786,114.220335
22.3400444,114.211303
22.3201935,114.21597
22.335329,114.217847
22.3090231,114.239575
22.2964001,114.239419
22.2925737,114.237541
22.3211051,114.209423
22.3223523,114.210583
22.3176434,114.236325
22.3077196,114.223773
22.2964001,114.239419
22.3198569,114.208168
22.3028979,114.239645
22.320878,114.219605
22.3296429,114.213234
22.3090231,114.239575
22.327384,114.216806
22.3155643,114.223888
22.3215102,114.215512
22.3331388,114.214925
22.3301172,114.206678
22.3318807,114.203245
22.3328288,114.214623
22.3264211,114.205521
22.3115079,114.223493
23.17375,113.729614
22.3090467,114.23227
22.3261115,114.215343
22.323968,114.203765
22.3155286,114.214781
22.3209129,114.233848
22.310794,114.2247
22.3085362,114.234955
22.3164515,114.213701
22.3152938,114.216035
22.3137374,114.219313
22.3222915,114.211234
22.3152176,114.217153
22.3142611,114.22402
22.323232,114.227008
22.3290676,114.208911
22.326918,114.214306
22.3167781,114.21662
22.3209541,114.219569
22.3264828,114.225815
22.3124428,114.237982
22.3166085,114.226246
22.323877,114.217024
22.3067876,114.228097
22.3028979,114.239645
22.3165412,114.229636
22.3161061,114.219099
22.3264104,114.216899
22.3150211,114.222912
22.322,114.230488
22.3209122,114.229386
22.3065601,114.236305
22.3135686,114.221617
22.3069942,114.233571
22.3194881,114.231916
22.3111987,114.226001
22.298314,114.236641
22.312698,114.224236
22.324606,114.214384
22.334206,114.210056
22.311199,114.22131
22.312401,114.225222
22.3339771,114.20984
22.3289827,114.200435
22.312401,114.225222
22.3145,114.229499
22.315506,114.225817
22.312285,114.223588
22.306006,114.228294
22.312176,114.226435
22.31517,114.220329
22.317491,114.217281
22.311807,114.227158
22.30975,114.221273
22.315022,114.22449
22.310454,114.224739
22.316916,114.226529
